City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Mount Isa,AU,67.77,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
385,Mulanje,MW,66.13,few clouds,-16.0316,35.5,Mulanje Motel
387,Terrace,CA,46.31,overcast clouds,54.5163,-128.6035,Northern Motor Inn
388,Salym,RU,45.88,scattered clouds,60.0625,71.4789,Gostinitsa Salym
389,Lagoa,PT,59.79,clear sky,39.05,-27.9833,Casa Das Faias
391,Quesnel,CA,48.7,scattered clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
394,Batemans Bay,AU,51.1,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
395,Winnemucca,US,61.86,broken clouds,40.973,-117.7357,Winners Inn Casino
396,Ilam,NP,64.31,scattered clouds,26.9167,87.9167,चियाबारी कटेज
398,Benevento,IT,67.75,clear sky,41.2179,14.7464,Bed and breakfast “P’a Carrera”
399,Potenza,IT,53.26,clear sky,40.6443,15.8086,Park Hotel Centro Congressi
401,Jiayuguan,CN,62.44,scattered clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
404,Biggar,GB,61.29,scattered clouds,55.6167,-3.5167,The Mill Bed and Breakfast
409,Skjervoy,NO,41.0,overcast clouds,70.0311,20.9714,Skjervøy fiskecamp AS
410,Areosa,PT,63.63,overcast clouds,41.7178,-8.8571,Hotel Flôr de Sal
411,Fairbanks,US,56.48,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
412,Brae,GB,53.92,few clouds,60.3964,-1.353,Busta House Hotel
416,Vila Franca Do Campo,PT,66.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
417,Ayolas,PY,62.28,broken clouds,-27.4,-56.9,Hotel Ayolas
419,Guerrero Negro,MX,66.88,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
420,Naze,JP,68.67,light rain,28.3667,129.4833,Shishime Hotel
423,Hovd,MN,63.36,clear sky,48.0056,91.6419,Hotel Khovd
424,Chapais,CA,51.55,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
430,Kapustin Yar,RU,54.3,moderate rain,48.5831,45.7372,"Gostinitsa ""Znamensk"""
434,Grindavik,IS,52.27,moderate rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
435,Cherskiy,RU,43.32,broken clouds,68.75,161.3,Gostinitsa
438,Gravdal,NO,49.89,clear sky,68.1214,13.5031,Skreda Rorbusuiter
441,Jardim,BR,69.44,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
442,Srebrenica,BA,55.44,clear sky,44.1064,19.2969,Misirlije Boarding House
444,Rijeka,HR,69.51,clear sky,45.3431,14.4092,Grand Hotel Bonavia
445,Bundaberg,AU,69.22,overcast clouds,-24.85,152.35,Takalvan Motel
447,Muriwai Beach,NZ,59.77,few clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
449,Santa Vitoria Do Palmar,BR,62.13,few clouds,-33.5189,-53.3681,Hostel Comodoro
451,Narsaq,GL,55.62,clear sky,60.9167,-46.05,Sleep In Narsaq
453,Kamaishi,JP,55.24,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
454,Rio Grande,BR,62.71,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
455,Sungaipenuh,ID,65.61,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
457,San Roque,ES,68.83,broken clouds,36.2107,-5.3842,Hotel Guadacorte Park
461,Fort Nelson,CA,50.54,light rain,58.8053,-122.7002,The Fort Nelson Hotel
462,Milkovo,RU,41.99,light rain,54.7167,158.6167,"Hotel ""Geologist"""
464,Markova,UA,52.61,scattered clouds,48.6758,24.4138,Vas.VOM
466,Sakaraha,MG,68.38,broken clouds,-22.9,44.5333,Le Relais
467,Aksha,RU,56.82,broken clouds,50.2814,113.2867,Vizit
468,Wadena,US,55.15,overcast clouds,46.4425,-95.1361,Eastwood Inn of Wadena
471,At-Bashi,KG,55.54,broken clouds,41.1702,75.8106,Hostel At-Bashy
474,Sarkand,KZ,59.05,few clouds,45.41,79.9186,Гостиница Сарканд
476,Novobureyskiy,RU,50.58,light rain,49.798,129.8774,-
477,Karabulak,RU,50.99,light rain,43.3036,44.8964,"Baza Otdykha ""Russkaya Banya"""
480,Port Augusta,AU,50.49,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
484,Taksimo,RU,48.0,broken clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
487,Superior,US,67.48,overcast clouds,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
490,Plastun,RU,55.74,overcast clouds,44.7561,136.2939,Gostinitsa Rossiyanochka
499,Kijang,KR,63.37,overcast clouds,35.2442,129.2139,Samyang Beach Villa
501,Khaniotis,GR,63.36,clear sky,39.9991,23.58,Haris Hotel
502,Levokumskoye,RU,55.09,overcast clouds,44.8219,44.6606,SPA-Otel «Елена»
506,Haines Junction,CA,48.24,clear sky,60.7522,-137.5108,Parkside Inn
508,General Pico,AR,61.9,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
511,Copiapo,CL,62.29,few clouds,-27.3667,-70.3333,Antay Casino Hotel
513,Tamworth,GB,65.84,broken clouds,52.634,-1.6959,Drayton Manor Hotel
518,Chernyshevskiy,RU,40.84,light rain,63.0128,112.4714,Chernyseyskiy
520,Coquimbo,CL,64.13,scattered clouds,-29.9533,-71.3436,Hotel San Juan
522,Portland,US,54.99,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
528,Wajima,JP,60.98,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
531,Bereda,ES,69.42,broken clouds,43.2686,-7.5406,Pazo de Verdes
535,Qianan,CN,64.49,clear sky,44.9932,124.0581,Qian'an Hotel
536,Vestmanna,FO,47.32,light rain,62.1564,-7.1664,Vestmanna Camping
540,Ust-Kut,RU,49.53,scattered clouds,56.7938,105.7672,Otel Flagman
545,Iwanai,JP,52.43,broken clouds,42.9744,140.5089,いわない高原ホテル
550,Grafton,US,55.51,overcast clouds,42.207,-71.6856,The Grafton Inn
551,Charters Towers,AU,65.23,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
552,Whittlesea,ZA,57.63,light rain,-32.1759,26.8244,Eddie's Nest B&B
559,Iroquois Falls,CA,52.81,overcast clouds,48.7669,-80.6831,Auberge MacDonald Guest Inn
560,Hellvik,NO,54.77,overcast clouds,59.9156,5.781,Rabben feriesenter AS
561,Meiganga,CM,69.76,light rain,6.5167,14.3,DFR HOUSE
563,Rio Cuarto,AR,67.48,broken clouds,-33.1307,-64.3499,Hotel Menossi
566,Pisz,PL,58.93,overcast clouds,53.6274,21.8125,Hotel Joseph Conrad
570,Siemiatycze,PL,59.25,overcast clouds,52.4272,22.8623,Hotel Kresowiak Siemiatycze
571,Ferme-Neuve,CA,59.7,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
572,Andenes,NO,42.78,clear sky,69.3143,16.1194,Hotell Marena
573,Kachug,RU,54.57,broken clouds,53.9606,105.8817,"The hotel ""Empire"""
574,Nantucket,US,53.65,mist,41.2835,-70.0995,Jared Coffin House
581,Kilmallock,IE,58.15,broken clouds,52.4,-8.5772,Deebert House Hotel
583,Shenjiamen,CN,64.76,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
584,Marquette,US,58.44,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
585,Kamiiso,JP,50.14,clear sky,41.8167,140.65,Business Inn Abe
589,Marsabit,KE,69.75,scattered clouds,2.3284,37.9899,Chicho Hotel
590,Kaseda,JP,64.92,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
593,Verkh-Usugli,RU,49.19,scattered clouds,52.7,115.1667,"Gostinitsa ""Sever"""
596,Medzilaborce,SK,60.82,broken clouds,49.2719,21.9007,Penzión Hubert
597,Plettenberg Bay,ZA,56.26,light rain,-34.0527,23.3716,Thanda Vista B&B
604,Marawi,PH,70.0,broken clouds,7.9986,124.2928,Derogongan Residence
605,Penzance,GB,57.88,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
606,Nevel,RU,49.93,overcast clouds,56.0209,29.9284,Uyut
608,Rudnyy,KZ,55.63,scattered clouds,52.9594,63.1206,Gostinitsa Troya
609,Plast,RU,46.69,light rain,54.3691,60.8136,S
612,Qianguo,CN,62.96,clear sky,45.1171,124.8568,Guo'er Luosi Hotel
615,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
617,Comodoro Rivadavia,AR,49.86,few clouds,-45.8667,-67.5,Austral Hotel
620,Mangochi,MW,69.71,few clouds,-14.4782,35.2645,Fort Johnstone Hotel
621,Melendugno,IT,68.05,clear sky,40.2747,18.3368,Alba Bed & Breakfast Melendugno
628,Nelson Bay,AU,60.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
629,Kamarion,GR,61.09,few clouds,36.8,25.8167,Rooms Eleni
630,Mocuba,MZ,68.23,clear sky,-16.8392,36.9856,Phama Lodge
632,Roma,US,60.69,moderate rain,43.2128,-75.4557,Wingate By Wyndham Rome
634,Kirensk,RU,48.27,few clouds,57.7853,108.1119,Kirenskiy Plos
635,Sydney Mines,CA,57.49,clear sky,46.2367,-60.2177,At The Harbourfront B&B Inc
638,Canelones,UY,57.22,few clouds,-34.6444,-56.2886,Chacra Los Cardenales
639,Monte Alegre De Minas,BR,63.64,overcast clouds,-18.8706,-48.8808,Hotel Via Hotel
640,Storsteinnes,NO,50.65,overcast clouds,69.2408,19.2344,Tingvoll
642,The Pas,CA,47.35,overcast clouds,53.8251,-101.2541,Wescana Inn
643,Quthing,LS,53.44,overcast clouds,-30.4,27.7003,Mountainside Hotel
647,Macusani,PE,52.43,broken clouds,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
650,Nouadhibou,MR,67.23,overcast clouds,20.931,-17.0347,El Medina
651,Samfya,ZM,66.67,clear sky,-11.3649,29.5565,Chita Lodge Samfya
652,Homer,US,59.77,clear sky,59.6425,-151.5483,Beluga Lake Lodge
660,Sioux Lookout,CA,56.68,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
661,Khani,GE,44.17,light rain,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
662,Zhangzhou,CN,67.87,scattered clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
671,Nagato,JP,59.2,overcast clouds,34.3833,131.2,いそう庵
672,Anchorage,US,59.86,clear sky,61.2181,-149.9003,Hotel Captain Cook
674,Bredene,BE,67.21,few clouds,51.2334,2.9804,Noordzeepark Zeewind
676,Pietrari,RO,54.75,clear sky,45.1,24.1333,Hotel Palace Baile Govora
682,Butia,BR,60.96,broken clouds,-30.1197,-51.9622,Restaurante e Churrascaria Santo Antonio Ltda
686,Sitka,US,51.69,few clouds,57.0531,-135.33,Westmark Sitka
687,Balsta,SE,60.98,broken clouds,59.5671,17.5278,Aronsborgs Conference Hotel
688,Tucuman,AR,69.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
689,Xining,CN,50.18,broken clouds,36.6167,101.7667,Super Leisure Hotel
693,Kitimat,CA,46.8,overcast clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
695,Mercedes,AR,62.85,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
