City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Tabou,CI,2022-05-16 15:41:14,4.423,-7.3528,83.08,75,100,8.43
90,Itaituba,BR,2022-05-16 15:41:15,-4.2761,-55.9836,87.96,74,75,5.75
91,Kaitangata,NZ,2022-05-16 15:41:15,-46.2817,169.8464,51.93,78,61,4.36
92,Carnarvon,AU,2022-05-16 15:41:16,-24.8667,113.6333,71.24,54,0,10.42
93,Noumea,NC,2022-05-16 15:41:16,-22.2763,166.4572,73.99,99,0,7.43
94,Mahebourg,MU,2022-05-16 15:41:16,-20.4081,57.7,77.29,69,40,13.8
95,Basoko,CD,2022-05-16 15:41:17,1.2391,23.616,77.47,83,100,0.6
96,Provideniya,RU,2022-05-16 15:41:17,64.3833,-173.3,30.36,79,12,5.21
97,Apastovo,RU,2022-05-16 15:41:18,55.2029,48.5109,52.38,79,95,6.93
98,Khovu-Aksy,RU,2022-05-16 15:41:18,51.1333,93.6,53.56,77,100,1.99
99,Aksarka,RU,2022-05-16 15:41:18,66.5606,67.7975,51.12,65,91,4.52
100,Talnakh,RU,2022-05-16 15:41:19,69.4865,88.3972,47.21,88,100,7.76
101,Tiarei,PF,2022-05-16 15:41:19,-17.5333,-149.3333,80.62,73,30,16.15
102,Sola,VU,2022-05-16 15:41:20,-13.8833,167.55,79.47,83,88,5.75
103,Bathsheba,BB,2022-05-16 15:41:20,13.2167,-59.5167,86.61,70,20,20.71
104,Verkhnyaya Inta,RU,2022-05-16 15:41:21,65.9811,60.3094,37.31,97,100,11.01
105,Ilulissat,GL,2022-05-16 15:41:21,69.2167,-51.1,30.22,59,0,4.61
106,Jurado,CO,2022-05-16 15:41:21,7.1053,-77.7641,82.2,82,100,6.58
107,Puri,IN,2022-05-16 15:41:22,19.8,85.85,84.72,88,8,21.61
108,Port Blair,IN,2022-05-16 15:41:23,11.6667,92.75,78.84,94,100,2.3
109,Ergani,TR,2022-05-16 15:41:24,38.2653,39.7621,63.45,53,0,6.31
110,Camacha,PT,2022-05-16 15:41:24,33.0833,-16.3333,69.22,73,20,13.8
111,Dubna,RU,2022-05-16 15:41:24,56.7333,37.1667,46.56,77,98,11.16
112,Puebla,MX,2022-05-16 15:37:58,18.8333,-98.0,73.29,16,6,3.36
113,Palatka,US,2022-05-16 15:41:25,29.6486,-81.6376,84.42,42,0,5.95
114,Puerto Ayora,EC,2022-05-16 15:41:25,-0.7393,-90.3518,80.56,88,68,4.0
115,Biak,ID,2022-05-16 15:41:26,-0.9131,122.8766,76.3,87,100,3.06
116,Okakarara,NA,2022-05-16 15:41:26,-20.5833,17.4333,72.37,19,2,11.43
117,Ishigaki,JP,2022-05-16 15:41:26,24.3448,124.1572,68.13,100,100,14.97
