City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Flinders,AU,-34.5833,150.8552,56.17,68,100,5.01,overcast clouds
106,Cape Town,ZA,-33.9258,18.4232,57.27,67,20,10.36,few clouds
107,Tambilil,PH,5.9622,124.6697,78.89,84,68,4.03,broken clouds
108,Svetlyy,RU,54.675,20.1347,71.65,70,98,10.98,overcast clouds
109,Iqaluit,CA,63.7506,-68.5145,29.93,80,100,3.44,overcast clouds
110,Khatanga,RU,71.9667,102.5,21.61,92,100,6.67,overcast clouds
111,Kapaa,US,22.0752,-159.319,77.11,93,75,10.36,broken clouds
112,Ponta Do Sol,PT,32.6667,-17.1,73.13,81,94,4.85,overcast clouds
113,Tinqueux,FR,49.25,3.9833,73.42,68,0,6.91,clear sky
114,Auki,SB,-8.7676,160.7034,76.14,86,3,2.13,clear sky
115,Talnakh,RU,69.4865,88.3972,33.21,89,93,4.7,overcast clouds
116,Havoysund,NO,70.9963,24.6622,35.83,69,58,4.59,broken clouds
117,Concordia,AR,-31.393,-58.0209,59.07,72,75,2.3,broken clouds
118,Port Elizabeth,ZA,-33.918,25.5701,57.49,97,100,11.5,moderate rain
119,Valdivia,CL,-39.8142,-73.2459,55.49,74,100,4.63,light rain
120,Tabuk,PH,17.4189,121.4443,74.07,91,94,0.81,overcast clouds
121,Ostrovnoy,RU,68.0531,39.5131,33.69,79,100,17.05,overcast clouds
122,Dicabisagan,PH,17.0818,122.4157,79.16,82,100,9.33,overcast clouds
123,Mar Del Plata,AR,-38.0023,-57.5575,57.94,61,0,12.66,clear sky
124,Xiongyue,CN,40.1774,122.1228,60.49,57,88,5.73,overcast clouds
125,Asau,RO,46.4333,26.4,65.32,51,5,1.72,clear sky
126,Helong,CN,42.5397,128.9972,49.8,89,75,5.46,moderate rain
127,Ahipara,NZ,-35.1667,173.1667,61.2,82,24,11.18,few clouds
128,Kodiak,US,57.79,-152.4072,51.31,54,0,4.61,clear sky
129,Avarua,CK,-21.2078,-159.775,73.45,94,75,3.44,broken clouds
130,Codrington,AU,-38.2667,141.9667,52.9,64,86,7.7,overcast clouds
131,Poykovskiy,RU,61.2333,73.3333,48.49,93,0,4.47,light rain
132,Pevek,RU,69.7008,170.3133,31.59,99,100,2.53,light snow
133,Ola,RU,59.5833,151.2833,35.15,99,100,4.85,snow
134,Kahului,US,20.8947,-156.47,81.84,73,0,1.99,clear sky
135,Birao,CF,10.2849,22.7882,92.25,32,81,8.08,broken clouds
136,Fortuna,US,40.5982,-124.1573,56.93,79,100,16.11,overcast clouds
137,Westport,US,41.1415,-73.3579,58.71,91,100,9.22,overcast clouds
138,Parit Buntar,MY,5.1267,100.4932,82.42,86,90,4.0,overcast clouds
139,Morris,US,40.8334,-74.5329,61.21,84,100,1.01,overcast clouds
140,Hambantota,LK,6.1241,81.1185,79.47,84,32,13.24,scattered clouds
141,Eyl,SO,7.9803,49.8164,82.74,69,97,25.08,overcast clouds
142,Altukhovo,RU,52.67,34.36,48.87,76,74,5.88,broken clouds
143,Scottsbluff,US,41.8666,-103.6672,81.28,20,0,31.07,clear sky
144,Badiraguato,MX,25.3667,-107.5167,92.37,27,73,6.17,broken clouds
145,Hailar,CN,49.2,119.7,58.89,31,11,11.16,few clouds
146,Yumen,CN,40.2833,97.2,64.63,29,17,4.99,few clouds
147,Tilichiki,RU,60.4667,166.1,34.66,91,100,1.9,overcast clouds
